Gender,Nationality,Class Level,Age,School Type,Main Administration,Candidacy type,Degree
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,560
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,707
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,713
male,Saudi,3,18,Private,Riyadh,Talented-Candidacy,673
male,Saudi,3,18,Governmental,Madinah,Self-Candidacy,627
female,Saudi,3,19,Governmental,Aseer,Self-Candidacy,653
male,Saudi,3,19,Governmental,Mecca,Self-Candidacy,560
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,680
female,Saudi,3,18,Governmental,Madinah,Self-Candidacy,607
female,Saudi,3,18,Governmental,Najran,Talented-Candidacy,580
male,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,627
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,680
male,Saudi,3,18,Governmental,Madinah,Self-Candidacy,560
male,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,560
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,660
male,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,473
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,647
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,640
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,633
female,Saudi,3,18,Private,Mecca,Self-Candidacy,660
male,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,673
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,473
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,440
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,660
female,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,667
male,Saudi,3,18,Governmental,Bahah,Self-Candidacy,687
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,587
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,607
male,Saudi,3,18,Private,Mecca,Self-Candidacy,740
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,540
male,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,653
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,653
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,600
female,Saudi,3,18,Private,Riyadh,Self-Candidacy,607
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,687
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,547
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,640
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,673
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,720
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,613
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,500
male,Saudi,3,18,Private,Eastern,Self-Candidacy,793
female,Saudi,3,18,Governmental,Hail,Talented-Candidacy,627
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,680
male,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,700
male,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,647
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,653
female,Saudi,3,18,Governmental,Bahah,Self-Candidacy,427
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,627
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,587
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,620
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,660
male,Saudi,3,18,Governmental,Bahah,Self-Candidacy,640
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,500
female,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,580
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,613
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,600
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,660
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,667
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,673
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,573
female,Saudi,3,18,Governmental,Bahah,Self-Candidacy,613
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,660
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,580
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,627
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,600
male,Saudi,3,18,Private,Mecca,Self-Candidacy,707
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,667
male,Saudi,3,18,Private,Mecca,Self-Candidacy,600
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,453
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,587
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,693
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,680
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,693
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,607
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,693
male,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,700
male,Saudi,3,18,Governmental,Najran,Talented-Candidacy,700
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,693
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,573
female,Saudi,3,19,Governmental,Hudud-Shimaliyyah,Self-Candidacy,667
female,Saudi,3,18,Private,Madinah,Self-Candidacy,567
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,560
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,593
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,593
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,680
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,507
male,Saudi,3,18,Private,Riyadh,Self-Candidacy,700
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,600
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,647
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,620
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,627
male,Saudi,3,18,Private,Hail,Talented-Candidacy,653
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,600
male,Saudi,3,18,Governmental,Madinah,Self-Candidacy,667
male,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,607
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,600
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,713
male,Saudi,3,18,Private,Najran,Talented-Candidacy,667
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,653
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,427
male,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,640
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,580
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,547
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,560
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,587
male,Saudi,3,18,Governmental,Madinah,Self-Candidacy,680
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,560
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,540
male,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,620
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,613
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,647
male,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,567
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,720
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,520
male,Saudi,3,18,Governmental,Tabuk,Talented-Candidacy,733
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,673
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,580
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,613
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,593
female,Saudi,3,18,Governmental,Madinah,Self-Candidacy,673
male,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,667
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,560
female,Saudi,3,18,Private,Mecca,Self-Candidacy,627
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,600
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,687
female,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,600
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,607
male,Saudi,3,18,Governmental,Qaseem,Talented-Candidacy,667
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,640
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,567
female,Saudi,3,18,Governmental,Hudud-Shimaliyyah,Talented-Candidacy,613
male,Saudi,3,18,Governmental,Hudud-Shimaliyyah,Talented-Candidacy,693
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,500
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,620
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,700
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,607
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,567
female,Saudi,3,18,Private,Riyadh,Self-Candidacy,693
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,627
male,Saudi,3,18,Private,Madinah,Self-Candidacy,733
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,607
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,607
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,627
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,687
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,600
male,Saudi,3,18,Private,Mecca,Self-Candidacy,660
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,520
male,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,693
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,687
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,593
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,727
male,Saudi,3,18,Private,Riyadh,Self-Candidacy,700
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,653
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,667
female,Saudi,3,19,Governmental,Hail,Self-Candidacy,633
male,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,673
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,627
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,547
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,613
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,667
male,Saudi,3,18,Private,Jawf,Talented-Candidacy,667
female,Saudi,3,18,Governmental,Hail,Self-Candidacy,640
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,527
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,507
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,540
male,Saudi,3,18,Private,Riyadh,Self-Candidacy,660
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,733
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,680
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,660
male,Saudi,3,18,Governmental,Madinah,Self-Candidacy,633
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,640
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,620
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,647
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,487
female,Saudi,3,18,Governmental,Najran,Talented-Candidacy,607
female,Saudi,3,18,Governmental,Bahah,Talented-Candidacy,680
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,720
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,640
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,653
male,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,600
male,Saudi,3,18,Governmental,Bahah,Self-Candidacy,600
female,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,653
female,Saudi,3,18,Private,Eastern,Self-Candidacy,667
female,Saudi,3,18,Private,Eastern,Self-Candidacy,647
male,Saudi,3,18,Private,Riyadh,Talented-Candidacy,453
female,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,560
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,727
female,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,613
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,527
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,507
male,Saudi,3,18,Governmental,Tabuk,Talented-Candidacy,660
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,627
male,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,680
male,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,627
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,560
male,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,613
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,640
male,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,640
male,Saudi,3,18,Governmental,Bahah,Talented-Candidacy,680
male,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,727
female,Saudi,3,18,Private,Mecca,Self-Candidacy,580
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,653
male,Saudi,3,18,Private,Jawf,Talented-Candidacy,507
male,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,673
female,Saudi,3,18,Private,Mecca,Self-Candidacy,440
male,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,713
female,Saudi,3,18,Foreign,Eastern,Self-Candidacy,633
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,687
male,Saudi,3,18,Governmental,Madinah,Self-Candidacy,507
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,627
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,600
female,Saudi,3,18,Private,Aseer,Self-Candidacy,600
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,627
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,560
male,Saudi,3,18,Private,Eastern,Self-Candidacy,680
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,487
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,633
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,540
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,673
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,693
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,547
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,587
female,Saudi,3,18,Private,Riyadh,Self-Candidacy,647
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,600
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,660
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,647
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,700
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,613
female,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,660
male,Saudi,3,18,Private,Aseer,Self-Candidacy,613
female,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,587
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,347
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,660
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,660
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,487
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,647
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,673
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,607
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,640
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,673
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,667
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,613
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,540
male,Saudi,3,18,Private,Riyadh,Talented-Candidacy,747
female,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,593
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,587
male,Saudi,3,18,Private,Tabuk,Self-Candidacy,627
male,Saudi,3,18,Private,Riyadh,Self-Candidacy,613
female,Saudi,3,18,Private,Mecca,Self-Candidacy,607
female,Saudi,3,18,Foreign,Mecca,Self-Candidacy,640
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,627
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,620
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,627
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,607
female,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,567
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,667
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,687
female,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,693
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,580
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,587
male,Saudi,3,18,Private,Riyadh,Talented-Candidacy,760
male,Saudi,3,18,Private,Mecca,Self-Candidacy,567
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,600
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,627
female,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,653
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,540
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,627
male,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,633
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,600
female,Saudi,3,18,Governmental,Tabuk,Self-Candidacy,700
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,607
female,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,653
male,Saudi,3,18,Private,Riyadh,Self-Candidacy,700
female,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,653
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,587
male,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,613
male,Saudi,3,18,Governmental,Jawf,Talented-Candidacy,613
female,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,707
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,627
male,Saudi,3,18,Governmental,Hail,Talented-Candidacy,660
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,707
female,Saudi,3,18,Governmental,Jazan,Self-Candidacy,567
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,753
male,Saudi,3,18,Governmental,Hudud-Shimaliyyah,Self-Candidacy,647
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,627
male,Saudi,3,18,Governmental,Madinah,Talented-Candidacy,500
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,753
male,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,627
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,640
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,540
female,Saudi,3,18,Governmental,Bahah,Self-Candidacy,660
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,773
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,693
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,687
female,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,733
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,640
female,Saudi,3,18,Private,Mecca,Self-Candidacy,580
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,727
male,Saudi,3,18,Private,Mecca,Self-Candidacy,667
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,620
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,667
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,653
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,413
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,653
female,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,660
female,Saudi,3,19,Governmental,Mecca,Talented-Candidacy,660
male,Saudi,3,18,Governmental,Unknown,Self-Candidacy,527
female,Saudi,3,18,Governmental,Eastern,Self-Candidacy,720
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,613
male,Saudi,3,18,Governmental,Tabuk,Talented-Candidacy,660
male,Saudi,3,18,Private,Eastern,Self-Candidacy,647
male,Saudi,3,18,Governmental,Tabuk,Talented-Candidacy,667
female,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,687
female,Saudi,3,18,Governmental,Eastern,Talented-Candidacy,627
male,Saudi,3,18,Governmental,Tabuk,Talented-Candidacy,640
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,573
male,Saudi,3,18,Governmental,Tabuk,Talented-Candidacy,593
female,Saudi,3,18,Private,Riyadh,Self-Candidacy,640
female,Saudi,3,19,Governmental,Aseer,Self-Candidacy,520
female,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,527
male,Saudi,3,18,Foreign,Riyadh,Self-Candidacy,653
female,Saudi,3,18,Private,Madinah,Self-Candidacy,680
male,Saudi,3,18,Governmental,Jazan,Self-Candidacy,673
male,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,687
male,Saudi,3,18,Governmental,Hudud-Shimaliyyah,Self-Candidacy,593
female,Saudi,3,18,Private,Riyadh,Self-Candidacy,547
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,587
female,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,640
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,540
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,753
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,527
female,Saudi,3,18,Private,Eastern,Self-Candidacy,687
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,633
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,607
male,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,693
female,Saudi,3,18,Governmental,Aseer,Talented-Candidacy,647
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,660
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,620
male,Saudi,3,18,Governmental,Riyadh,Self-Candidacy,507
male,Saudi,3,18,Governmental,Qaseem,Talented-Candidacy,613
female,Saudi,3,18,Foreign,Mecca,Self-Candidacy,640
female,Saudi,3,18,Governmental,Tabuk,Talented-Candidacy,653
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,700
male,Saudi,3,18,Governmental,Eastern,Self-Candidacy,667
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,613
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,687
male,Saudi,3,18,Governmental,Jazan,Talented-Candidacy,640
female,Saudi,3,18,Governmental,Hudud-Shimaliyyah,Talented-Candidacy,627
male,Saudi,3,18,Private,Mecca,Self-Candidacy,660
female,Saudi,3,18,Governmental,Aseer,Self-Candidacy,627
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,693
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,640
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,453
female,Saudi,3,18,Governmental,Riyadh,Talented-Candidacy,613
female,Saudi,3,18,Governmental,Hail,Talented-Candidacy,647
female,Saudi,3,18,Governmental,Mecca,Self-Candidacy,627
male,Saudi,3,18,Governmental,Aseer,Self-Candidacy,687
male,Saudi,3,18,Private,Riyadh,Talented-Candidacy,527
male,Saudi,3,18,Private,Mecca,Self-Candidacy,373
male,Saudi,3,18,Governmental,Mecca,Self-Candidacy,580
female,Saudi,3,18,Private,Eastern,Self-Candidacy,633
male,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,647
male,Saudi,3,18,Governmental,Mecca,Talented-Candidacy,620
male,Saudi,3,18,Private,Mecca,Self-Candidacy,713
female,Saudi,3,18,Governmental,Qaseem,Self-Candidacy,613
